tatripid,log_time,stop_name,stop_id,route_id,direction,scheduled_start_date,scheduled_start_time,actual_arrival_time,scheduled_arrival_time
9462,2023-12-14T17:21,'FIFTH  AVE + ATWOOD ST',36,71D,OUTBOUND,2023-12-14,17:15,17:21,12:27
9547,2023-12-14T17:21,'FIFTH AVE + OAKLAND AVE',2565,75,OUTBOUND,2023-12-14,17:07,17:21,17:17
9152,2023-12-14T17:22,'FORBES AVE + MOREWOOD (CARNEGIE MELLON)',7117,67,OUTBOUND,2023-12-14,16:40,17:22,16:56
10527,2023-12-14T17:22,'FIFTH  AVE + ATWOOD ST',36,P3,INBOUND,2023-12-14,16:57,17:23,17:20
10688,2023-12-14T17:23,'FIFTH AVE + OAKLAND AVE',2565,P3,OUTBOUND,2023-12-14,17:10,17:23,17:15
10738,2023-12-14T17:23,'FIFTH AVE + OAKLAND AVE',2565,71B,OUTBOUND,2023-12-14,16:57,17:24,17:14
9070,2023-12-14T17:23,'FIFTH  AVE + ATWOOD ST',36,71B,INBOUND,2023-12-14,16:42,17:25,17:06
6044,2023-12-14T17:23,'FORBES + MURRAY FS',7096,61B,INBOUND,2023-12-14,16:51,17:26,17:18
6041,2023-12-14T17:24,'FIFTH  AVE + ATWOOD ST',36,61A,INBOUND,2023-12-14,16:35,17:26,17:25
10740,2023-12-14T17:25,'FIFTH AVE + OAKLAND AVE',2565,71B,OUTBOUND,2023-12-14,17:23,17:25,17:39
7452,2023-12-14T17:25,'FORBES AVE + MOREWOOD AVE FS (CARNEGIE MELLON)',4407,61C,INBOUND,2023-12-14,16:37,17:25,17:21
6553,2023-12-14T17:25,'FORBES AVE + MURRAY AVE',7126,61A,OUTBOUND,2023-12-14,17:01,17:26,17:26
5953,2023-12-14T17:25,'FIFTH  AVE + ATWOOD ST',36,61D,OUTBOUND,2023-12-14,17:23,17:27,14:47
7451,2023-12-14T17:27,'FIFTH  AVE + ATWOOD ST',36,61C,INBOUND,2023-12-14,16:22,17:28,17:13
9074,2023-12-14T17:27,'HIGHLAND AVE + BAUM',19383,71B,INBOUND,2023-12-14,17:12,17:28,17:20
9072,2023-12-14T17:27,'FIFTH AVE + MOREWOOD AVE',1167,71B,INBOUND,2023-12-14,16:57,17:28,17:14
6825,2023-12-14T17:28,'FORBES + MURRAY FS',7096,61D,INBOUND,2023-12-14,16:54,17:28,17:24
